account_id,account_name,region,industry,segment,created_at,updated_at
ACCT-00001,Synthetic Account 00001,Latin America,healthcare,mid_market,2022-01-08,2025-12-08
ACCT-00002,Synthetic Account 00002,Europe,manufacturing,smb,2024-07-28,2025-11-14
ACCT-00003,Synthetic Account 00003,APAC,software,enterprise,2022-03-29,2025-11-25
ACCT-00004,Synthetic Account 00004,Latin America,software,mid_market,2024-02-29,2025-11-05
ACCT-00005,Synthetic Account 00005,North America,retail,smb,2022-06-28,2025-12-22
ACCT-00006,Synthetic Account 00006,North America,software,smb,2024-01-11,2025-11-09
ACCT-00007,Synthetic Account 00007,Latin America,software,smb,2022-06-21,2025-11-28
ACCT-00008,Synthetic Account 00008,APAC,manufacturing,mid_market,2023-06-07,2025-11-15
ACCT-00009,Synthetic Account 00009,APAC,finance,mid_market,2024-03-02,2025-11-15
ACCT-00010,Synthetic Account 00010,Europe,healthcare,smb,2022-07-27,2025-11-27
ACCT-00011,Synthetic Account 00011,Latin America,finance,smb,2022-06-09,2025-12-04
ACCT-00012,Synthetic Account 00012,APAC,healthcare,smb,2024-02-05,2025-11-13
ACCT-00013,Synthetic Account 00013,Europe,healthcare,mid_market,2024-02-09,2025-12-01
ACCT-00014,Synthetic Account 00014,APAC,software,enterprise,2023-05-19,2025-11-03
ACCT-00015,Synthetic Account 00015,North America,software,enterprise,2022-05-27,2025-11-21
ACCT-00016,Synthetic Account 00016,North America,finance,enterprise,2023-01-02,2025-11-23
ACCT-00017,Synthetic Account 00017,North America,retail,mid_market,2022-09-18,2025-11-27
ACCT-00018,Synthetic Account 00018,Latin America,manufacturing,enterprise,2024-03-02,2025-12-17
ACCT-00019,Synthetic Account 00019,APAC,retail,mid_market,2022-12-27,2025-11-17
ACCT-00020,Synthetic Account 00020,North America,retail,smb,2023-03-31,2025-12-17
ACCT-00021,Synthetic Account 00021,Latin America,finance,smb,2022-11-10,2025-11-25
ACCT-00022,Synthetic Account 00022,Latin America,software,smb,2022-07-21,2025-11-14
ACCT-00023,Synthetic Account 00023,Europe,manufacturing,mid_market,2024-09-01,2025-12-04
ACCT-00024,Synthetic Account 00024,North America,software,mid_market,2023-08-04,2025-11-02
ACCT-00025,Synthetic Account 00025,Europe,manufacturing,smb,2023-11-17,2025-12-22
ACCT-00026,Synthetic Account 00026,APAC,healthcare,mid_market,2022-12-14,2025-12-19
ACCT-00027,Synthetic Account 00027,APAC,manufacturing,smb,2022-04-15,2025-12-13
ACCT-00028,Synthetic Account 00028,Europe,retail,mid_market,2024-05-30,2025-11-03
ACCT-00029,Synthetic Account 00029,North America,manufacturing,smb,2024-05-16,2025-11-29
ACCT-00030,Synthetic Account 00030,APAC,manufacturing,mid_market,2022-02-26,2025-12-15
ACCT-00031,Synthetic Account 00031,APAC,finance,smb,2024-11-29,2025-11-04
ACCT-00032,Synthetic Account 00032,Europe,retail,smb,2024-10-20,2025-12-07
ACCT-00033,Synthetic Account 00033,APAC,software,mid_market,2024-10-15,2025-12-16
ACCT-00034,Synthetic Account 00034,APAC,software,smb,2023-07-08,2025-11-07
ACCT-00035,Synthetic Account 00035,APAC,finance,smb,2024-04-12,2025-12-22
ACCT-00036,Synthetic Account 00036,North America,manufacturing,smb,2022-01-20,2025-11-04
ACCT-00037,Synthetic Account 00037,Europe,finance,enterprise,2023-12-20,2025-12-29
ACCT-00038,Synthetic Account 00038,Europe,manufacturing,enterprise,2022-06-10,2025-11-27
ACCT-00039,Synthetic Account 00039,Latin America,healthcare,smb,2024-12-27,2025-11-27
ACCT-00040,Synthetic Account 00040,Latin America,healthcare,smb,2025-02-08,2025-11-04
ACCT-00041,Synthetic Account 00041,Latin America,healthcare,smb,2022-06-30,2025-11-06
ACCT-00042,Synthetic Account 00042,Europe,manufacturing,mid_market,2023-10-07,2025-11-11
ACCT-00043,Synthetic Account 00043,Europe,manufacturing,smb,2023-12-12,2025-11-07
ACCT-00044,Synthetic Account 00044,Europe,software,smb,2024-07-11,2025-11-10
ACCT-00045,Synthetic Account 00045,Latin America,finance,smb,2023-08-10,2025-12-01
ACCT-00046,Synthetic Account 00046,APAC,finance,smb,2024-11-25,2025-11-09
ACCT-00047,Synthetic Account 00047,APAC,manufacturing,enterprise,2023-02-19,2025-11-15
ACCT-00048,Synthetic Account 00048,Europe,retail,smb,2023-01-20,2025-12-08
ACCT-00049,Synthetic Account 00049,APAC,manufacturing,smb,2024-05-24,2025-11-09
ACCT-00050,Synthetic Account 00050,Latin America,finance,mid_market,2023-10-19,2025-12-30
ACCT-00051,Synthetic Account 00051,APAC,manufacturing,mid_market,2022-04-09,2025-12-25
ACCT-00052,Synthetic Account 00052,Europe,healthcare,smb,2024-02-20,2025-12-22
ACCT-00053,Synthetic Account 00053,Latin America,retail,enterprise,2022-12-02,2025-11-29
ACCT-00054,Synthetic Account 00054,Latin America,manufacturing,mid_market,2024-10-06,2025-12-27
ACCT-00055,Synthetic Account 00055,Latin America,software,smb,2024-09-30,2025-12-18
ACCT-00056,Synthetic Account 00056,Latin America,software,smb,2023-05-20,2025-12-17
ACCT-00057,Synthetic Account 00057,Europe,finance,smb,2024-10-20,2025-12-17
ACCT-00058,Synthetic Account 00058,Europe,retail,mid_market,2025-02-16,2025-12-28
ACCT-00059,Synthetic Account 00059,North America,software,enterprise,2024-05-25,2025-12-18
ACCT-00060,Synthetic Account 00060,Europe,manufacturing,mid_market,2023-12-30,2025-12-15
ACCT-00061,Synthetic Account 00061,APAC,software,mid_market,2025-01-24,2025-11-16
ACCT-00062,Synthetic Account 00062,APAC,finance,smb,2024-11-14,2025-11-26
ACCT-00063,Synthetic Account 00063,North America,retail,mid_market,2023-07-28,2025-12-13
ACCT-00064,Synthetic Account 00064,Latin America,retail,enterprise,2022-04-11,2025-12-23
ACCT-00065,Synthetic Account 00065,North America,retail,smb,2023-12-22,2025-12-01
ACCT-00066,Synthetic Account 00066,North America,retail,enterprise,2023-07-11,2025-12-13
ACCT-00067,Synthetic Account 00067,APAC,healthcare,enterprise,2023-03-15,2025-11-20
ACCT-00068,Synthetic Account 00068,North America,retail,mid_market,2022-08-04,2025-12-18
ACCT-00069,Synthetic Account 00069,Latin America,healthcare,enterprise,2024-05-09,2025-11-02
ACCT-00070,Synthetic Account 00070,North America,finance,enterprise,2024-12-30,2025-12-26
ACCT-00071,Synthetic Account 00071,North America,healthcare,smb,2023-12-19,2025-11-11
ACCT-00072,Synthetic Account 00072,Latin America,finance,smb,2022-10-09,2025-11-21
ACCT-00073,Synthetic Account 00073,Europe,retail,smb,2022-01-02,2025-11-21
ACCT-00074,Synthetic Account 00074,APAC,finance,smb,2024-05-05,2025-11-08
ACCT-00075,Synthetic Account 00075,APAC,healthcare,enterprise,2022-07-09,2025-12-04
ACCT-00076,Synthetic Account 00076,North America,finance,smb,2022-03-17,2025-11-19
ACCT-00077,Synthetic Account 00077,APAC,manufacturing,mid_market,2022-08-25,2025-11-30
ACCT-00078,Synthetic Account 00078,APAC,finance,enterprise,2022-08-30,2025-11-20
ACCT-00079,Synthetic Account 00079,North America,retail,mid_market,2023-02-12,2025-11-28
ACCT-00080,Synthetic Account 00080,Latin America,software,mid_market,2023-01-19,2025-11-03
ACCT-00081,Synthetic Account 00081,Latin America,retail,enterprise,2022-08-25,2025-12-12
ACCT-00082,Synthetic Account 00082,Latin America,software,mid_market,2024-07-27,2025-11-18
ACCT-00083,Synthetic Account 00083,North America,software,mid_market,2024-09-18,2025-12-22
ACCT-00084,Synthetic Account 00084,North America,retail,mid_market,2022-10-29,2025-12-29
ACCT-00085,Synthetic Account 00085,Latin America,retail,enterprise,2023-03-19,2025-11-19
ACCT-00086,Synthetic Account 00086,Europe,manufacturing,smb,2024-09-07,2025-12-18
ACCT-00087,Synthetic Account 00087,APAC,healthcare,mid_market,2025-02-17,2025-12-31
ACCT-00088,Synthetic Account 00088,Europe,healthcare,smb,2024-08-04,2025-11-23
ACCT-00089,Synthetic Account 00089,North America,finance,mid_market,2023-10-26,2025-11-25
ACCT-00090,Synthetic Account 00090,APAC,software,mid_market,2025-04-05,2025-11-23
ACCT-00091,Synthetic Account 00091,North America,manufacturing,smb,2024-05-22,2025-12-04
ACCT-00092,Synthetic Account 00092,North America,finance,smb,2024-03-23,2025-11-12
ACCT-00093,Synthetic Account 00093,APAC,finance,enterprise,2022-02-05,2025-12-31
ACCT-00094,Synthetic Account 00094,North America,healthcare,smb,2024-02-04,2025-12-22
ACCT-00095,Synthetic Account 00095,North America,software,smb,2022-12-12,2025-12-09
ACCT-00096,Synthetic Account 00096,Latin America,finance,mid_market,2023-12-23,2025-11-03
ACCT-00097,Synthetic Account 00097,APAC,healthcare,smb,2023-11-19,2025-11-18
ACCT-00098,Synthetic Account 00098,APAC,healthcare,mid_market,2022-05-12,2025-12-01
ACCT-00099,Synthetic Account 00099,North America,finance,smb,2023-07-08,2025-11-05
ACCT-00100,Synthetic Account 00100,North America,manufacturing,mid_market,2023-09-08,2025-11-06
ACCT-00101,Synthetic Account 00101,Europe,manufacturing,smb,2022-02-27,2025-12-25
ACCT-00102,Synthetic Account 00102,Europe,software,smb,2024-10-18,2025-11-30
ACCT-00103,Synthetic Account 00103,Europe,software,smb,2025-01-30,2025-11-04
ACCT-00104,Synthetic Account 00104,North America,finance,mid_market,2022-01-26,2025-12-20
ACCT-00105,Synthetic Account 00105,Latin America,manufacturing,smb,2022-05-25,2025-12-22
ACCT-00106,Synthetic Account 00106,Europe,finance,enterprise,2022-06-01,2025-12-10
ACCT-00107,Synthetic Account 00107,Latin America,retail,mid_market,2023-06-14,2025-11-03
ACCT-00108,Synthetic Account 00108,Europe,finance,mid_market,2023-12-22,2025-12-18
ACCT-00109,Synthetic Account 00109,Europe,manufacturing,smb,2022-10-17,2025-11-23
ACCT-00110,Synthetic Account 00110,North America,software,smb,2024-10-13,2025-12-16
ACCT-00111,Synthetic Account 00111,APAC,finance,smb,2023-01-08,2025-11-17
ACCT-00112,Synthetic Account 00112,North America,healthcare,mid_market,2023-01-04,2025-11-08
ACCT-00113,Synthetic Account 00113,APAC,retail,smb,2023-12-07,2025-12-29
ACCT-00114,Synthetic Account 00114,Latin America,software,smb,2024-11-11,2025-12-09
ACCT-00115,Synthetic Account 00115,Europe,healthcare,smb,2022-10-26,2025-11-27
ACCT-00116,Synthetic Account 00116,Latin America,healthcare,smb,2023-02-10,2025-12-21
ACCT-00117,Synthetic Account 00117,APAC,healthcare,mid_market,2023-02-11,2025-11-23
ACCT-00118,Synthetic Account 00118,North America,healthcare,smb,2023-07-13,2025-12-10
ACCT-00119,Synthetic Account 00119,North America,healthcare,smb,2023-05-30,2025-12-29
ACCT-00120,Synthetic Account 00120,APAC,retail,smb,2025-02-17,2025-11-24
ACCT-00121,Synthetic Account 00121,APAC,software,mid_market,2022-06-25,2025-12-29
ACCT-00122,Synthetic Account 00122,North America,manufacturing,enterprise,2023-05-17,2025-12-19
ACCT-00123,Synthetic Account 00123,APAC,retail,mid_market,2022-11-01,2025-12-22
ACCT-00124,Synthetic Account 00124,Latin America,manufacturing,mid_market,2023-12-21,2025-12-28
ACCT-00125,Synthetic Account 00125,North America,finance,mid_market,2024-07-26,2025-12-07
ACCT-00126,Synthetic Account 00126,Latin America,finance,smb,2025-01-27,2025-11-09
ACCT-00127,Synthetic Account 00127,APAC,software,enterprise,2023-06-10,2025-12-13
ACCT-00128,Synthetic Account 00128,APAC,manufacturing,enterprise,2022-11-14,2025-12-17
ACCT-00129,Synthetic Account 00129,North America,finance,mid_market,2025-03-02,2025-11-13
ACCT-00130,Synthetic Account 00130,APAC,manufacturing,enterprise,2022-04-21,2025-11-05
ACCT-00131,Synthetic Account 00131,Europe,healthcare,mid_market,2022-06-07,2025-12-13
ACCT-00132,Synthetic Account 00132,Europe,software,smb,2025-02-23,2025-12-29
ACCT-00133,Synthetic Account 00133,Latin America,manufacturing,smb,2024-11-29,2025-11-16
ACCT-00134,Synthetic Account 00134,North America,finance,mid_market,2023-11-03,2025-11-22
ACCT-00135,Synthetic Account 00135,North America,software,mid_market,2023-01-30,2025-11-02
ACCT-00136,Synthetic Account 00136,Europe,finance,smb,2025-03-05,2025-11-22
ACCT-00137,Synthetic Account 00137,APAC,healthcare,mid_market,2025-02-23,2025-11-06
ACCT-00138,Synthetic Account 00138,North America,healthcare,smb,2024-11-06,2025-12-22
ACCT-00139,Synthetic Account 00139,Latin America,retail,smb,2024-07-15,2025-12-22
ACCT-00140,Synthetic Account 00140,APAC,manufacturing,smb,2023-12-15,2025-11-22
