customer_id,account_id,region,channel,status,created_at,updated_at
CUST-00001,ACCT-00536,North America,sales_led,active,2025-03-31,2025-12-25
CUST-00002,ACCT-04644,North America,self_serve,active,2024-10-24,2025-12-21
CUST-00003,ACCT-03928,APAC,partner,active,2024-01-09,2025-12-06
CUST-00004,ACCT-02634,APAC,partner,active,2023-03-14,2025-12-28
CUST-00005,ACCT-02599,Latin America,sales_led,active,2023-05-18,2025-12-28
CUST-00006,ACCT-05152,Latin America,marketplace,active,2023-08-07,2025-12-22
CUST-00007,ACCT-00516,Europe,partner,trial,2024-01-01,2025-12-13
CUST-00008,ACCT-04185,Latin America,self_serve,inactive,2025-03-08,2025-12-07
CUST-00009,ACCT-01209,APAC,marketplace,active,2023-04-18,2025-12-15
CUST-00010,ACCT-00566,Europe,self_serve,active,2024-06-03,2025-12-17
CUST-00011,ACCT-03159,Latin America,partner,active,2023-11-09,2025-12-05
CUST-00012,ACCT-05854,North America,sales_led,active,2023-02-11,2025-12-26
CUST-00013,ACCT-04415,APAC,partner,active,2024-07-11,2025-12-04
CUST-00014,ACCT-04567,Latin America,marketplace,active,2024-09-25,2025-12-22
CUST-00015,ACCT-04305,APAC,partner,active,2025-05-13,2025-12-23
CUST-00016,ACCT-04717,Latin America,partner,active,2024-04-01,2025-12-03
CUST-00017,ACCT-03080,North America,marketplace,inactive,2023-10-20,2025-12-12
CUST-00018,ACCT-00769,APAC,partner,active,2025-02-08,2025-12-19
CUST-00019,ACCT-05039,Latin America,marketplace,active,2023-08-11,2025-12-22
CUST-00020,ACCT-02703,APAC,sales_led,active,2024-09-06,2025-12-18
CUST-00021,ACCT-03003,Latin America,self_serve,active,2025-04-29,2025-12-08
CUST-00022,ACCT-02225,Europe,self_serve,active,2023-01-05,2025-12-27
CUST-00023,ACCT-01096,APAC,partner,active,2025-04-12,2025-12-26
CUST-00024,ACCT-05561,Europe,partner,active,2023-07-05,2025-12-22
CUST-00025,ACCT-04690,Latin America,self_serve,active,2024-03-09,2025-12-17
CUST-00026,ACCT-03864,North America,self_serve,active,2023-08-21,2025-12-07
CUST-00027,ACCT-02415,Europe,marketplace,inactive,2023-05-11,2025-12-25
CUST-00028,ACCT-04937,North America,partner,inactive,2024-09-24,2025-12-08
CUST-00029,ACCT-03273,APAC,marketplace,active,2024-03-09,2025-12-04
CUST-00030,ACCT-02661,North America,self_serve,active,2024-04-03,2025-12-18
CUST-00031,ACCT-02703,Europe,self_serve,active,2024-03-11,2025-12-03
CUST-00032,ACCT-01364,Latin America,sales_led,active,2024-11-03,2025-12-05
CUST-00033,ACCT-00553,Europe,marketplace,active,2025-05-19,2025-12-08
CUST-00034,ACCT-03328,North America,partner,active,2024-04-06,2025-12-20
CUST-00035,ACCT-05328,North America,marketplace,active,2023-05-21,2025-12-22
CUST-00036,ACCT-00383,North America,sales_led,trial,2023-10-22,2025-12-06
CUST-00037,ACCT-05150,Latin America,sales_led,active,2024-03-22,2025-12-18
CUST-00038,ACCT-04966,APAC,partner,inactive,2023-04-04,2025-12-31
CUST-00039,ACCT-01661,Latin America,marketplace,active,2023-07-26,2025-12-10
CUST-00040,ACCT-03790,North America,sales_led,active,2023-07-02,2025-12-21
CUST-00041,ACCT-00992,Europe,partner,trial,2025-05-25,2025-12-03
CUST-00042,ACCT-04549,North America,marketplace,active,2023-12-27,2025-12-06
CUST-00043,ACCT-04204,Europe,sales_led,active,2025-03-02,2025-12-28
CUST-00044,ACCT-02128,APAC,marketplace,trial,2024-05-11,2025-12-04
CUST-00045,ACCT-00408,Latin America,partner,active,2024-03-31,2025-12-03
CUST-00046,ACCT-05825,Europe,marketplace,active,2025-04-24,2025-12-09
CUST-00047,ACCT-02675,Latin America,sales_led,active,2024-09-14,2025-12-23
CUST-00048,ACCT-05359,APAC,partner,active,2023-08-04,2025-12-11
CUST-00049,ACCT-04068,Europe,sales_led,active,2023-09-11,2025-12-05
CUST-00050,ACCT-04671,Latin America,partner,active,2024-08-22,2025-12-07
CUST-00051,ACCT-04560,Europe,sales_led,inactive,2023-01-03,2025-12-19
CUST-00052,ACCT-01168,North America,partner,active,2023-05-18,2025-12-10
CUST-00053,ACCT-02184,Latin America,marketplace,active,2023-03-08,2025-12-20
CUST-00054,ACCT-02801,Latin America,sales_led,active,2024-10-04,2025-12-24
CUST-00055,ACCT-02987,North America,sales_led,active,2024-02-02,2025-12-11
CUST-00056,ACCT-00263,Latin America,sales_led,inactive,2023-01-11,2025-12-18
CUST-00057,ACCT-03280,Latin America,partner,active,2024-10-29,2025-12-25
CUST-00058,ACCT-00926,Latin America,partner,active,2024-08-13,2025-12-12
CUST-00059,ACCT-04461,Europe,partner,inactive,2024-10-08,2025-12-22
CUST-00060,ACCT-04099,APAC,self_serve,inactive,2023-05-27,2025-12-14
CUST-00061,ACCT-05536,APAC,self_serve,inactive,2025-02-26,2025-12-21
CUST-00062,ACCT-04469,APAC,self_serve,active,2023-06-12,2025-12-05
CUST-00063,ACCT-02200,APAC,marketplace,active,2024-05-28,2025-12-06
CUST-00064,ACCT-05806,APAC,marketplace,active,2024-05-18,2025-12-17
CUST-00065,ACCT-02466,APAC,self_serve,active,2023-07-16,2025-12-10
CUST-00066,ACCT-01955,APAC,self_serve,inactive,2023-12-04,2025-12-26
CUST-00067,ACCT-05434,APAC,marketplace,active,2023-02-16,2025-12-02
CUST-00068,ACCT-02223,North America,partner,active,2024-02-29,2025-12-25
CUST-00069,ACCT-00459,North America,sales_led,inactive,2024-09-01,2025-12-05
CUST-00070,ACCT-02818,Latin America,partner,trial,2023-10-05,2025-12-06
CUST-00071,ACCT-04775,Latin America,self_serve,active,2024-04-28,2025-12-26
CUST-00072,ACCT-01137,APAC,self_serve,trial,2025-05-08,2025-12-31
CUST-00073,ACCT-02778,North America,sales_led,active,2023-07-31,2025-12-09
CUST-00074,ACCT-00780,Latin America,marketplace,active,2023-09-19,2025-12-05
CUST-00075,ACCT-04119,North America,marketplace,active,2023-04-18,2025-12-10
CUST-00076,ACCT-02855,Europe,self_serve,trial,2024-05-02,2025-12-30
CUST-00077,ACCT-01982,Europe,partner,inactive,2023-07-03,2025-12-12
CUST-00078,ACCT-01362,North America,marketplace,active,2025-02-07,2025-12-20
CUST-00079,ACCT-03387,Latin America,marketplace,active,2023-09-19,2025-12-04
CUST-00080,ACCT-04019,APAC,marketplace,active,2024-08-20,2025-12-07
