invoice_id,account_id,customer_id,invoice_date,invoice_amount,status,currency
INV-0000001,ACCT-02548,CUST-01866,2025-08-02,245.68,paid,USD
INV-0000002,ACCT-00257,CUST-00627,2025-01-15,503.91,issued,USD
INV-0000003,ACCT-04193,CUST-01186,2025-11-01,254.67,paid,USD
INV-0000004,ACCT-02498,CUST-03132,2025-09-24,334.27,paid,USD
INV-0000005,ACCT-03080,CUST-01560,2025-01-16,714.58,paid,GBP
INV-0000006,ACCT-00040,CUST-01656,2025-09-26,475.1,paid,USD
INV-0000007,ACCT-05380,CUST-02609,2025-01-19,288.13,paid,USD
INV-0000008,ACCT-04257,CUST-00995,2025-06-12,168.77,paid,USD
INV-0000009,ACCT-02503,CUST-01742,2025-03-27,169.44,paid,USD
INV-0000010,ACCT-01022,CUST-02999,2025-06-25,284.17,paid,GBP
INV-0000011,ACCT-03073,CUST-02403,2025-12-25,420.58,paid,USD
INV-0000012,ACCT-01646,CUST-03376,2025-11-12,303.05,overdue,USD
INV-0000013,ACCT-04872,CUST-03910,2025-03-27,337.3,paid,USD
INV-0000014,ACCT-04047,CUST-02239,2025-10-06,719.4,overdue,USD
INV-0000015,ACCT-04795,CUST-03644,2025-12-22,177.79,paid,USD
INV-0000016,ACCT-02198,CUST-04392,2025-05-24,274.48,paid,EUR
INV-0000017,ACCT-02955,CUST-01636,2025-07-04,524.95,paid,EUR
INV-0000018,ACCT-02308,CUST-04709,2025-11-26,378.32,issued,USD
INV-0000019,ACCT-01101,CUST-03335,2025-02-21,120.2,paid,USD
INV-0000020,ACCT-05348,CUST-00525,2025-06-25,534.21,issued,USD
INV-0000021,ACCT-02051,CUST-04955,2025-04-29,261.51,paid,USD
INV-0000022,ACCT-04152,CUST-04913,2025-05-16,709.52,paid,USD
INV-0000023,ACCT-00674,CUST-02036,2025-04-01,484.64,overdue,USD
INV-0000024,ACCT-01527,CUST-04649,2025-01-02,635.79,paid,USD
INV-0000025,ACCT-01486,CUST-04224,2025-10-22,345.91,void,USD
INV-0000026,ACCT-01771,CUST-00808,2025-04-13,315.97,overdue,USD
INV-0000027,ACCT-05759,CUST-04756,2025-08-12,245.7,paid,USD
INV-0000028,ACCT-05838,CUST-00967,2025-02-09,331.81,paid,USD
INV-0000029,ACCT-02136,CUST-02861,2025-06-17,361.98,paid,GBP
INV-0000030,ACCT-05573,CUST-00233,2025-03-25,69.72,paid,USD
INV-0000031,ACCT-05992,CUST-02837,2025-04-10,241.71,paid,USD
INV-0000032,ACCT-05390,CUST-00944,2025-01-29,698.79,paid,USD
INV-0000033,ACCT-03342,CUST-00551,2025-11-22,27.19,paid,USD
INV-0000034,ACCT-02352,CUST-00997,2025-05-31,27.8,paid,USD
INV-0000035,ACCT-01234,CUST-01580,2025-01-13,62.33,issued,GBP
INV-0000036,ACCT-04468,CUST-00089,2025-02-07,714.08,paid,USD
INV-0000037,ACCT-03378,CUST-00715,2025-02-26,539.37,paid,USD
INV-0000038,ACCT-03302,CUST-00686,2025-11-17,352.28,paid,USD
INV-0000039,ACCT-05902,CUST-03807,2025-10-19,540.11,paid,USD
INV-0000040,ACCT-01641,CUST-03126,2025-07-06,582.11,paid,USD
INV-0000041,ACCT-05030,CUST-04314,2025-09-10,347.29,paid,EUR
INV-0000042,ACCT-05474,CUST-03357,2025-08-13,254.66,paid,USD
INV-0000043,ACCT-01401,CUST-03426,2025-06-02,560.59,issued,EUR
INV-0000044,ACCT-04686,CUST-03229,2025-01-01,676.9,paid,USD
INV-0000045,ACCT-05588,CUST-03548,2025-01-02,186.41,paid,USD
INV-0000046,ACCT-03678,CUST-01730,2025-09-24,728.54,paid,USD
INV-0000047,ACCT-00115,CUST-03955,2025-04-29,1735.01,issued,USD
INV-0000048,ACCT-04107,CUST-03779,2025-05-04,107.61,paid,GBP
INV-0000049,ACCT-03166,CUST-04325,2025-12-22,1356.57,void,USD
INV-0000050,ACCT-03824,CUST-03796,2025-03-03,173.81,issued,USD
INV-0000051,ACCT-03044,CUST-03538,2025-02-07,111.06,paid,USD
INV-0000052,ACCT-01315,CUST-01496,2025-12-17,345.86,paid,USD
INV-0000053,ACCT-00068,CUST-02915,2025-07-13,553.5,paid,EUR
INV-0000054,ACCT-04551,CUST-04960,2025-08-17,1196.94,issued,USD
INV-0000055,ACCT-03329,CUST-01391,2025-08-10,729.96,issued,USD
INV-0000056,ACCT-03734,CUST-03200,2025-12-22,146.45,paid,USD
INV-0000057,ACCT-04972,CUST-04879,2025-08-18,449.22,paid,USD
INV-0000058,ACCT-04296,CUST-03911,2025-08-09,80.27,paid,USD
INV-0000059,ACCT-01061,CUST-02286,2025-02-10,114.88,paid,USD
INV-0000060,ACCT-02772,CUST-00032,2025-10-24,406.36,paid,USD
INV-0000061,ACCT-04098,CUST-02792,2025-01-25,357.88,paid,USD
INV-0000062,ACCT-04447,CUST-03027,2025-03-04,240.5,paid,USD
INV-0000063,ACCT-05454,CUST-02975,2025-06-28,446.16,paid,USD
INV-0000064,ACCT-03937,CUST-04553,2025-01-20,175.72,issued,EUR
INV-0000065,ACCT-03513,CUST-01841,2025-01-22,277.68,paid,EUR
INV-0000066,ACCT-01745,CUST-02533,2025-04-28,150.82,paid,USD
INV-0000067,ACCT-04284,CUST-01554,2025-04-20,109.65,paid,USD
INV-0000068,ACCT-05295,CUST-04656,2025-01-27,172.74,issued,USD
INV-0000069,ACCT-02821,CUST-03769,2025-06-12,177.54,paid,USD
INV-0000070,ACCT-01062,CUST-00587,2025-03-13,216.96,overdue,USD
INV-0000071,ACCT-05204,CUST-04848,2025-05-21,406.65,paid,USD
INV-0000072,ACCT-00590,CUST-02056,2025-01-22,571.79,paid,USD
INV-0000073,ACCT-03678,CUST-04014,2025-12-08,418.97,overdue,USD
INV-0000074,ACCT-03082,CUST-04015,2025-07-18,373.91,issued,USD
INV-0000075,ACCT-04891,CUST-01809,2025-05-17,810.58,paid,USD
INV-0000076,ACCT-00822,CUST-00417,2025-12-10,539.98,issued,USD
INV-0000077,ACCT-01068,CUST-04202,2025-04-11,641.13,paid,USD
INV-0000078,ACCT-00077,CUST-02192,2025-04-27,423.54,paid,USD
