order_id,customer_id,product_id,order_date,order_amount,status,currency,channel
ORD-0000001,CUST-03766,PROD-0010,2025-01-20,1079.84,completed,USD,sales_led
ORD-0000002,CUST-02591,PROD-0174,2025-10-14,108.77,completed,USD,partner
ORD-0000003,CUST-00387,PROD-0480,2025-09-30,463.34,completed,EUR,partner
ORD-0000004,CUST-02627,PROD-0463,2025-04-20,110.09,completed,EUR,sales_led
ORD-0000005,CUST-03306,PROD-0106,2025-05-18,131.86,completed,USD,sales_led
ORD-0000006,CUST-03037,PROD-0202,2025-08-21,103.53,pending,USD,sales_led
ORD-0000007,CUST-04342,PROD-0277,2025-11-27,425.15,completed,USD,partner
ORD-0000008,CUST-02973,PROD-0054,2025-01-13,1053.88,completed,USD,partner
ORD-0000009,CUST-04063,PROD-0196,2025-02-09,287.8,cancelled,USD,marketplace
ORD-0000010,CUST-02596,PROD-0379,2025-04-17,539.22,completed,USD,self_serve
ORD-0000011,CUST-03183,PROD-0376,2025-06-27,164.7,completed,USD,partner
ORD-0000012,CUST-00776,PROD-0087,2025-01-17,129.18,completed,USD,partner
ORD-0000013,CUST-04962,PROD-0262,2025-11-08,466.26,completed,USD,marketplace
ORD-0000014,CUST-00136,PROD-0104,2025-03-20,892.65,completed,USD,partner
ORD-0000015,CUST-04842,PROD-0373,2025-06-30,380.16,completed,USD,marketplace
ORD-0000016,CUST-02881,PROD-0328,2025-11-03,693.18,completed,USD,marketplace
ORD-0000017,CUST-01688,PROD-0346,2025-07-22,421.14,pending,USD,partner
ORD-0000018,CUST-02117,PROD-0254,2025-05-17,362.75,completed,USD,partner
ORD-0000019,CUST-00383,PROD-0186,2025-08-17,144.24,cancelled,USD,marketplace
ORD-0000020,CUST-02051,PROD-0040,2025-01-31,175.05,cancelled,USD,sales_led
ORD-0000021,CUST-00356,PROD-0376,2025-05-07,241.24,completed,EUR,sales_led
ORD-0000022,CUST-02151,PROD-0401,2025-12-23,188.58,completed,EUR,marketplace
ORD-0000023,CUST-00682,PROD-0213,2025-12-24,317.26,completed,USD,sales_led
ORD-0000024,CUST-00568,PROD-0011,2025-06-11,95.84,completed,USD,marketplace
ORD-0000025,CUST-03563,PROD-0278,2025-10-02,347.49,completed,USD,partner
ORD-0000026,CUST-00897,PROD-0096,2025-03-09,168.27,completed,USD,self_serve
ORD-0000027,CUST-01676,PROD-0464,2025-12-30,94.64,completed,USD,marketplace
ORD-0000028,CUST-03311,PROD-0313,2025-05-11,140.37,completed,GBP,partner
ORD-0000029,CUST-02524,PROD-0494,2025-05-16,854.07,completed,USD,partner
ORD-0000030,CUST-02569,PROD-0385,2025-01-15,509.16,pending,USD,partner
ORD-0000031,CUST-02210,PROD-0441,2025-05-20,340.61,completed,USD,self_serve
ORD-0000032,CUST-03049,PROD-0228,2025-06-01,358.34,completed,USD,partner
ORD-0000033,CUST-03264,PROD-0473,2025-12-23,661.46,completed,USD,self_serve
ORD-0000034,CUST-00647,PROD-0227,2025-05-13,589.82,completed,USD,self_serve
ORD-0000035,CUST-04816,PROD-0197,2025-11-23,245.93,completed,USD,self_serve
ORD-0000036,CUST-04071,PROD-0470,2025-12-01,335.46,completed,GBP,marketplace
ORD-0000037,CUST-02121,PROD-0179,2025-11-13,117.2,pending,USD,partner
ORD-0000038,CUST-01864,PROD-0152,2025-08-23,421.47,completed,GBP,sales_led
ORD-0000039,CUST-03629,PROD-0260,2025-07-12,365.05,completed,USD,self_serve
ORD-0000040,CUST-03066,PROD-0275,2025-08-18,409.92,completed,USD,partner
ORD-0000041,CUST-04015,PROD-0271,2025-12-19,398.95,completed,USD,marketplace
ORD-0000042,CUST-02329,PROD-0323,2025-12-12,212.84,completed,USD,partner
ORD-0000043,CUST-02207,PROD-0230,2025-01-29,179.37,completed,USD,partner
ORD-0000044,CUST-02342,PROD-0464,2025-02-22,642.42,completed,USD,sales_led
ORD-0000045,CUST-01479,PROD-0448,2025-07-05,401.95,completed,USD,partner
ORD-0000046,CUST-03893,PROD-0383,2025-07-12,343.56,completed,USD,self_serve
ORD-0000047,CUST-03982,PROD-0179,2025-09-03,66.63,completed,USD,partner
ORD-0000048,CUST-00552,PROD-0060,2025-08-25,176.0,completed,USD,marketplace
ORD-0000049,CUST-00468,PROD-0002,2025-05-27,109.94,cancelled,USD,marketplace
ORD-0000050,CUST-00374,PROD-0383,2025-06-22,42.85,pending,USD,sales_led
ORD-0000051,CUST-01647,PROD-0080,2025-10-30,177.02,completed,GBP,sales_led
ORD-0000052,CUST-00506,PROD-0311,2025-03-12,188.23,pending,USD,sales_led
ORD-0000053,CUST-02849,PROD-0221,2025-04-09,209.8,completed,USD,partner
ORD-0000054,CUST-04977,PROD-0388,2025-04-08,419.39,completed,GBP,self_serve
ORD-0000055,CUST-03525,PROD-0428,2025-04-19,379.04,completed,USD,marketplace
ORD-0000056,CUST-04636,PROD-0049,2025-01-06,166.17,completed,USD,partner
ORD-0000057,CUST-00743,PROD-0242,2025-01-03,409.77,completed,USD,marketplace
ORD-0000058,CUST-03503,PROD-0461,2025-04-04,318.32,completed,USD,sales_led
ORD-0000059,CUST-03643,PROD-0191,2025-12-29,265.97,completed,USD,marketplace
ORD-0000060,CUST-02238,PROD-0397,2025-07-24,245.62,completed,USD,marketplace
ORD-0000061,CUST-03729,PROD-0371,2025-10-26,96.6,completed,USD,self_serve
ORD-0000062,CUST-00426,PROD-0424,2025-11-03,97.43,completed,USD,partner
ORD-0000063,CUST-03078,PROD-0037,2025-04-09,157.64,completed,USD,self_serve
ORD-0000064,CUST-04105,PROD-0441,2025-09-11,228.96,completed,USD,marketplace
ORD-0000065,CUST-01966,PROD-0008,2025-08-13,276.47,cancelled,USD,sales_led
ORD-0000066,CUST-00948,PROD-0048,2025-12-11,660.87,completed,USD,self_serve
ORD-0000067,CUST-00052,PROD-0091,2025-01-06,285.72,completed,USD,sales_led
ORD-0000068,CUST-01365,PROD-0400,2025-12-29,242.39,completed,USD,partner
ORD-0000069,CUST-04107,PROD-0074,2025-05-19,253.28,completed,USD,partner
ORD-0000070,CUST-04204,PROD-0351,2025-04-10,368.16,completed,USD,partner
ORD-0000071,CUST-03085,PROD-0146,2025-07-13,679.51,completed,USD,self_serve
ORD-0000072,CUST-01287,PROD-0341,2025-08-26,109.31,completed,USD,sales_led
ORD-0000073,CUST-01300,PROD-0349,2025-06-23,714.03,completed,USD,self_serve
ORD-0000074,CUST-04223,PROD-0192,2025-09-28,171.49,pending,USD,partner
ORD-0000075,CUST-02919,PROD-0482,2025-05-04,328.07,completed,USD,sales_led
ORD-0000076,CUST-03930,PROD-0132,2025-01-19,525.41,completed,USD,self_serve
ORD-0000077,CUST-01852,PROD-0041,2025-07-20,1138.34,completed,USD,marketplace
ORD-0000078,CUST-04187,PROD-0305,2025-07-05,570.49,completed,USD,sales_led
ORD-0000079,CUST-02354,PROD-0028,2025-05-28,479.36,completed,USD,marketplace
ORD-0000080,CUST-03372,PROD-0143,2025-10-10,490.47,completed,GBP,marketplace
ORD-0000081,CUST-04257,PROD-0257,2025-11-08,143.74,completed,USD,self_serve
ORD-0000082,CUST-01761,PROD-0459,2025-06-21,234.79,completed,USD,sales_led
ORD-0000083,CUST-03940,PROD-0354,2025-03-29,277.89,completed,USD,partner
ORD-0000084,CUST-03266,PROD-0305,2025-06-01,291.24,completed,USD,partner
ORD-0000085,CUST-02487,PROD-0266,2025-09-25,383.9,completed,EUR,marketplace
ORD-0000086,CUST-04146,PROD-0180,2025-07-20,217.31,completed,USD,partner
ORD-0000087,CUST-02200,PROD-0415,2025-10-18,623.6,completed,USD,sales_led
ORD-0000088,CUST-03748,PROD-0011,2025-02-09,183.38,completed,USD,self_serve
ORD-0000089,CUST-00382,PROD-0080,2025-12-13,412.1,completed,USD,sales_led
ORD-0000090,CUST-04311,PROD-0081,2025-01-28,457.4,completed,USD,marketplace
ORD-0000091,CUST-04823,PROD-0312,2025-09-02,241.73,cancelled,USD,marketplace
ORD-0000092,CUST-04918,PROD-0146,2025-01-04,565.59,completed,USD,self_serve
ORD-0000093,CUST-04222,PROD-0033,2025-06-01,560.99,completed,USD,marketplace
ORD-0000094,CUST-03451,PROD-0082,2025-05-31,920.48,completed,USD,sales_led
ORD-0000095,CUST-03706,PROD-0330,2025-06-30,351.79,completed,USD,marketplace
ORD-0000096,CUST-04641,PROD-0273,2025-06-18,168.33,completed,USD,partner
ORD-0000097,CUST-03651,PROD-0269,2025-01-28,250.75,completed,USD,marketplace
ORD-0000098,CUST-01359,PROD-0361,2025-12-12,611.24,pending,USD,self_serve
ORD-0000099,CUST-00799,PROD-0260,2025-07-27,216.82,completed,EUR,self_serve
ORD-0000100,CUST-04868,PROD-0443,2025-11-29,197.14,completed,USD,sales_led
ORD-0000101,CUST-00696,PROD-0285,2025-02-27,146.72,completed,GBP,sales_led
ORD-0000102,CUST-04552,PROD-0323,2025-05-19,222.44,pending,USD,marketplace
ORD-0000103,CUST-04680,PROD-0159,2025-04-05,517.63,cancelled,USD,partner
ORD-0000104,CUST-00207,PROD-0290,2025-12-20,253.07,completed,USD,marketplace
ORD-0000105,CUST-04037,PROD-0092,2025-06-24,170.24,completed,EUR,sales_led
ORD-0000106,CUST-02953,PROD-0120,2025-02-27,101.95,completed,USD,self_serve
ORD-0000107,CUST-01948,PROD-0480,2025-06-25,340.31,completed,GBP,sales_led
ORD-0000108,CUST-02515,PROD-0437,2025-03-28,354.52,cancelled,USD,marketplace
ORD-0000109,CUST-02143,PROD-0204,2025-08-02,305.92,completed,USD,sales_led
ORD-0000110,CUST-04079,PROD-0158,2025-07-09,85.11,completed,USD,marketplace
ORD-0000111,CUST-02058,PROD-0309,2025-10-10,149.27,completed,USD,sales_led
ORD-0000112,CUST-00632,PROD-0352,2025-05-17,107.32,completed,USD,marketplace
ORD-0000113,CUST-01985,PROD-0017,2025-03-19,147.34,completed,USD,sales_led
ORD-0000114,CUST-02639,PROD-0374,2025-07-13,153.62,cancelled,USD,sales_led
ORD-0000115,CUST-02252,PROD-0019,2025-05-20,224.37,completed,USD,self_serve
ORD-0000116,CUST-02507,PROD-0023,2025-01-03,126.33,pending,USD,self_serve
ORD-0000117,CUST-04936,PROD-0237,2025-05-12,414.51,completed,USD,self_serve
ORD-0000118,CUST-01978,PROD-0326,2025-09-04,65.83,completed,USD,partner
ORD-0000119,CUST-04090,PROD-0172,2025-09-16,215.73,completed,USD,partner
ORD-0000120,CUST-04961,PROD-0466,2025-04-11,159.14,completed,USD,partner
ORD-0000121,CUST-04153,PROD-0207,2025-09-13,231.75,completed,USD,self_serve
ORD-0000122,CUST-02698,PROD-0347,2025-04-23,350.88,completed,USD,marketplace
ORD-0000123,CUST-04948,PROD-0257,2025-01-01,263.49,completed,EUR,marketplace
ORD-0000124,CUST-02067,PROD-0239,2025-11-29,460.27,completed,USD,partner
ORD-0000125,CUST-01397,PROD-0147,2025-01-03,299.38,completed,USD,sales_led
