payment_id,invoice_id,customer_id,payment_date,payment_amount,status,currency
PAY-0000001,INV-0016733,CUST-04530,2025-03-23,306.58,failed,USD
PAY-0000002,INV-0011189,CUST-03285,2025-11-19,518.67,succeeded,USD
PAY-0000003,INV-0043110,CUST-01451,2025-02-05,352.86,succeeded,USD
PAY-0000004,INV-0031408,CUST-00974,2025-03-17,434.05,succeeded,USD
PAY-0000005,INV-0020514,CUST-03839,2025-10-14,169.03,succeeded,USD
PAY-0000006,INV-0031497,CUST-02298,2025-09-29,652.39,succeeded,USD
PAY-0000007,INV-0029508,CUST-03267,2025-01-17,301.59,succeeded,USD
PAY-0000008,INV-0012373,CUST-02592,2025-07-05,466.51,succeeded,GBP
PAY-0000009,INV-0024744,CUST-02572,2025-05-24,834.0,succeeded,USD
PAY-0000010,INV-0009599,CUST-04051,2025-09-07,805.54,succeeded,USD
PAY-0000011,INV-0019316,CUST-02185,2025-04-24,402.84,failed,USD
PAY-0000012,INV-0042267,CUST-02608,2025-02-08,234.14,succeeded,USD
PAY-0000013,INV-0014679,CUST-04874,2025-10-09,60.04,succeeded,GBP
PAY-0000014,INV-0022261,CUST-03742,2025-07-23,127.43,succeeded,USD
PAY-0000015,INV-0016552,CUST-04675,2025-04-20,106.41,pending,USD
PAY-0000016,INV-0015995,CUST-03110,2025-05-31,911.7,succeeded,USD
PAY-0000017,INV-0042938,CUST-04319,2025-06-01,232.94,succeeded,USD
PAY-0000018,INV-0021390,CUST-02985,2025-05-02,367.38,succeeded,USD
PAY-0000019,INV-0003695,CUST-03916,2025-08-10,440.76,pending,EUR
PAY-0000020,INV-0006409,CUST-03292,2025-04-16,750.98,succeeded,USD
PAY-0000021,INV-0041631,CUST-00596,2025-02-10,266.61,succeeded,USD
PAY-0000022,INV-0013966,CUST-04043,2025-07-05,388.81,succeeded,USD
PAY-0000023,INV-0002123,CUST-03441,2025-08-07,360.0,failed,USD
PAY-0000024,INV-0007921,CUST-01789,2025-03-04,170.85,succeeded,USD
PAY-0000025,INV-0005689,CUST-00402,2025-02-19,126.5,failed,USD
PAY-0000026,INV-0041246,CUST-02145,2025-01-24,30.74,succeeded,USD
PAY-0000027,INV-0044033,CUST-02909,2025-07-14,107.13,succeeded,USD
PAY-0000028,INV-0024716,CUST-00023,2025-08-14,248.83,succeeded,USD
PAY-0000029,INV-0022228,CUST-02812,2025-11-12,793.84,succeeded,USD
PAY-0000030,INV-0005580,CUST-02628,2025-12-12,385.39,failed,USD
PAY-0000031,INV-0000130,CUST-04128,2025-05-23,363.04,succeeded,USD
PAY-0000032,INV-0009897,CUST-02618,2025-02-28,199.85,succeeded,USD
PAY-0000033,INV-0023920,CUST-04852,2025-12-29,554.82,pending,USD
PAY-0000034,INV-0023762,CUST-00568,2025-12-06,127.3,succeeded,GBP
