refund_id,payment_id,customer_id,refund_date,refund_amount,reason
REF-000001,PAY-0027852,CUST-04800,2025-06-16,67.21,customer_request
REF-000002,PAY-0037863,CUST-03927,2025-05-14,79.47,customer_request
REF-000003,PAY-0007153,CUST-01955,2025-02-27,10.92,service_credit
REF-000004,PAY-0030396,CUST-01594,2025-11-04,61.8,customer_request
REF-000005,PAY-0001062,CUST-00724,2025-07-26,37.03,fraud_adjustment
REF-000006,PAY-0020236,CUST-04862,2025-08-28,182.86,customer_request
REF-000007,PAY-0026156,CUST-03613,2025-07-25,93.58,customer_request
REF-000008,PAY-0038468,CUST-00520,2025-02-02,36.95,customer_request
REF-000009,PAY-0044576,CUST-01286,2025-06-02,136.14,customer_request
REF-000010,PAY-0016584,CUST-03510,2025-08-07,105.35,service_credit
REF-000011,PAY-0013196,CUST-03887,2025-09-25,105.26,customer_request
REF-000012,PAY-0027528,CUST-01468,2025-10-31,128.37,service_credit
REF-000013,PAY-0008873,CUST-04648,2025-09-24,8.53,customer_request
REF-000014,PAY-0018229,CUST-03429,2025-07-14,107.08,customer_request
REF-000015,PAY-0031440,CUST-03555,2025-03-30,81.42,service_credit
REF-000016,PAY-0041185,CUST-03610,2025-03-12,30.12,customer_request
REF-000017,PAY-0047983,CUST-01847,2025-06-14,41.22,customer_request
REF-000018,PAY-0004706,CUST-03463,2025-08-12,11.43,customer_request
REF-000019,PAY-0032720,CUST-03239,2025-12-19,217.85,fraud_adjustment
REF-000020,PAY-0023207,CUST-02685,2025-05-29,84.18,customer_request
REF-000021,PAY-0026835,CUST-01522,2025-07-29,68.4,service_credit
REF-000022,PAY-0010590,CUST-01341,2025-03-05,60.96,service_credit
REF-000023,PAY-0003142,CUST-01744,2025-12-21,84.93,customer_request
REF-000024,PAY-0020031,CUST-01179,2025-03-06,230.06,customer_request
REF-000025,PAY-0042652,CUST-01231,2025-08-06,141.26,service_credit
REF-000026,PAY-0031541,CUST-02114,2025-09-29,25.23,service_credit
REF-000027,PAY-0027372,CUST-00525,2025-10-22,339.06,customer_request
REF-000028,PAY-0003213,CUST-04058,2025-10-26,96.55,customer_request
REF-000029,PAY-0022424,CUST-02005,2025-04-18,128.38,customer_request
REF-000030,PAY-0018943,CUST-03892,2025-03-02,60.9,customer_request
REF-000031,PAY-0011727,CUST-01616,2025-03-27,107.5,customer_request
REF-000032,PAY-0026411,CUST-01222,2025-05-06,186.36,customer_request
REF-000033,PAY-0025276,CUST-04757,2025-02-05,42.51,customer_request
REF-000034,PAY-0033727,CUST-01782,2025-09-12,184.82,service_credit
REF-000035,PAY-0044133,CUST-02970,2025-08-26,156.37,customer_request
REF-000036,PAY-0025660,CUST-04949,2025-06-25,39.5,customer_request
REF-000037,PAY-0002428,CUST-02229,2025-09-08,127.33,customer_request
REF-000038,PAY-0019748,CUST-01012,2025-06-17,103.39,customer_request
REF-000039,PAY-0001200,CUST-01137,2025-08-26,50.97,customer_request
REF-000040,PAY-0035746,CUST-02641,2025-07-27,219.22,customer_request
REF-000041,PAY-0018314,CUST-04458,2025-10-11,56.51,fraud_adjustment
REF-000042,PAY-0038161,CUST-02177,2025-11-20,142.83,customer_request
REF-000043,PAY-0042381,CUST-00531,2025-10-19,81.63,customer_request
REF-000044,PAY-0011888,CUST-02119,2025-01-16,132.02,customer_request
REF-000045,PAY-0001424,CUST-01112,2025-06-16,53.35,customer_request
REF-000046,PAY-0047680,CUST-02495,2025-12-24,112.68,customer_request
REF-000047,PAY-0043320,CUST-04433,2025-09-21,73.52,customer_request
REF-000048,PAY-0017462,CUST-00469,2025-03-06,219.41,customer_request
REF-000049,PAY-0031668,CUST-03909,2025-09-25,155.01,customer_request
REF-000050,PAY-0031139,CUST-04960,2025-01-03,222.86,service_credit
REF-000051,PAY-0023477,CUST-00880,2025-02-18,22.51,customer_request
REF-000052,PAY-0006805,CUST-02569,2025-06-17,29.52,customer_request
REF-000053,PAY-0042362,CUST-01134,2025-12-12,187.55,service_credit
REF-000054,PAY-0012543,CUST-01760,2025-08-15,59.31,customer_request
REF-000055,PAY-0021000,CUST-03123,2025-08-08,17.75,customer_request
REF-000056,PAY-0024604,CUST-02286,2025-06-13,169.8,customer_request
REF-000057,PAY-0042406,CUST-02652,2025-07-11,81.11,service_credit
REF-000058,PAY-0023039,CUST-04603,2025-03-06,203.38,customer_request
REF-000059,PAY-0046636,CUST-04593,2025-05-01,29.68,customer_request
REF-000060,PAY-0004939,CUST-03309,2025-08-11,61.86,fraud_adjustment
REF-000061,PAY-0021147,CUST-04512,2025-07-21,389.27,customer_request
REF-000062,PAY-0004365,CUST-01085,2025-09-04,137.25,customer_request
REF-000063,PAY-0025975,CUST-03399,2025-04-22,48.81,customer_request
REF-000064,PAY-0024811,CUST-01791,2025-07-26,43.45,customer_request
REF-000065,PAY-0026423,CUST-02951,2025-08-03,69.17,customer_request
REF-000066,PAY-0045304,CUST-02225,2025-02-03,50.96,customer_request
REF-000067,PAY-0014267,CUST-03834,2025-11-13,157.63,customer_request
REF-000068,PAY-0036708,CUST-01552,2025-08-29,181.8,customer_request
