opportunity_id,account_id,created_at,close_date,stage,amount
OPP-0000001,ACCT-05007,2025-11-01,2025-11-30,negotiation,2575.33
OPP-0000002,ACCT-05623,2025-04-23,2025-11-18,proposal,15507.52
OPP-0000003,ACCT-04792,2025-06-29,2025-06-16,prospecting,23800.27
OPP-0000004,ACCT-01800,2025-08-03,2025-12-22,prospecting,23970.56
OPP-0000005,ACCT-04063,2025-04-23,2025-06-01,proposal,17443.79
OPP-0000006,ACCT-01991,2025-04-28,2025-03-06,negotiation,4300.37
OPP-0000007,ACCT-02916,2025-11-24,2025-09-05,prospecting,16102.94
OPP-0000008,ACCT-00320,2025-12-31,2026-03-03,prospecting,7347.11
OPP-0000009,ACCT-02013,2025-10-17,2026-02-10,proposal,17438.83
OPP-0000010,ACCT-05768,2025-04-03,2026-01-17,proposal,11981.24
OPP-0000011,ACCT-01283,2025-06-13,2025-10-05,negotiation,24315.2
OPP-0000012,ACCT-01280,2025-10-16,2025-12-27,closed_lost,9978.55
OPP-0000013,ACCT-05985,2025-01-01,2025-04-17,proposal,17995.54
OPP-0000014,ACCT-00759,2025-12-03,2025-10-08,closed_lost,39044.12
OPP-0000015,ACCT-00836,2025-11-06,2025-02-07,proposal,10303.33
OPP-0000016,ACCT-04410,2025-03-05,2026-01-31,closed_won,32586.96
OPP-0000017,ACCT-00141,2025-03-01,2025-05-22,negotiation,34081.96
OPP-0000018,ACCT-03649,2025-12-22,2025-06-07,proposal,16283.55
OPP-0000019,ACCT-00475,2025-06-08,2025-04-27,closed_lost,26044.26
OPP-0000020,ACCT-02462,2025-10-21,2026-02-22,negotiation,18348.42
OPP-0000021,ACCT-01017,2025-02-24,2025-11-15,proposal,14140.59
OPP-0000022,ACCT-00943,2025-07-06,2025-12-14,proposal,11644.6
OPP-0000023,ACCT-02723,2025-09-14,2025-05-13,negotiation,3814.44
OPP-0000024,ACCT-05295,2025-11-13,2025-05-21,closed_won,9194.76
OPP-0000025,ACCT-02724,2025-03-10,2025-11-27,proposal,5571.74
OPP-0000026,ACCT-05334,2025-03-03,2025-08-06,prospecting,12995.43
OPP-0000027,ACCT-03810,2025-04-10,2025-03-10,proposal,22270.58
OPP-0000028,ACCT-01401,2025-07-05,2025-07-04,negotiation,52277.72
OPP-0000029,ACCT-03234,2025-11-13,2026-02-01,prospecting,22818.38
OPP-0000030,ACCT-03188,2025-04-19,2025-07-26,negotiation,9276.94
OPP-0000031,ACCT-02993,2025-07-27,2025-05-16,proposal,15409.0
OPP-0000032,ACCT-01342,2025-04-07,2025-12-07,proposal,7029.65
OPP-0000033,ACCT-01355,2025-07-28,2025-09-21,closed_won,15702.01
OPP-0000034,ACCT-05817,2025-03-28,2025-04-08,negotiation,17734.72
OPP-0000035,ACCT-04752,2025-02-25,2025-04-08,closed_lost,12216.36
OPP-0000036,ACCT-05449,2025-04-17,2026-03-02,negotiation,27930.27
OPP-0000037,ACCT-05878,2025-07-13,2025-09-15,closed_lost,12769.41
OPP-0000038,ACCT-05777,2025-08-07,2025-07-19,negotiation,2075.62
OPP-0000039,ACCT-01060,2025-09-04,2025-07-13,closed_won,10735.4
OPP-0000040,ACCT-04622,2025-09-10,2026-02-20,closed_lost,15857.57
OPP-0000041,ACCT-03255,2025-03-05,2026-02-09,proposal,25835.66
OPP-0000042,ACCT-01115,2025-08-21,2026-01-18,closed_won,43213.93
OPP-0000043,ACCT-00990,2025-07-17,2025-05-23,closed_lost,10804.74
OPP-0000044,ACCT-01710,2025-02-02,2025-06-24,closed_won,9507.62
OPP-0000045,ACCT-05515,2025-11-07,2025-10-04,prospecting,19984.32
OPP-0000046,ACCT-01897,2025-06-28,2025-06-12,proposal,6496.31
OPP-0000047,ACCT-01266,2025-08-14,2025-12-22,prospecting,10092.73
OPP-0000048,ACCT-00976,2025-09-12,2026-02-22,negotiation,2072.59
OPP-0000049,ACCT-05949,2025-11-30,2025-09-03,negotiation,1634.74
OPP-0000050,ACCT-05643,2025-11-20,2025-06-04,prospecting,10122.55
OPP-0000051,ACCT-03942,2025-03-19,2025-12-11,proposal,9518.92
OPP-0000052,ACCT-02519,2025-09-10,2025-04-01,proposal,9163.84
OPP-0000053,ACCT-03700,2025-10-25,2025-11-10,proposal,7705.84
OPP-0000054,ACCT-00476,2025-12-12,2025-03-03,closed_won,29696.51
OPP-0000055,ACCT-03359,2025-04-09,2026-02-21,closed_won,23604.48
OPP-0000056,ACCT-05729,2025-04-03,2025-12-23,closed_lost,3713.69
OPP-0000057,ACCT-04923,2025-12-05,2025-09-21,proposal,6507.69
OPP-0000058,ACCT-00787,2025-02-17,2026-01-05,closed_won,18983.23
OPP-0000059,ACCT-03326,2025-11-27,2025-06-09,negotiation,43008.05
OPP-0000060,ACCT-04980,2025-07-25,2025-06-01,proposal,11116.13
OPP-0000061,ACCT-01995,2025-10-27,2025-03-16,proposal,3145.42
OPP-0000062,ACCT-03824,2025-07-13,2025-10-02,proposal,2782.73
OPP-0000063,ACCT-04640,2025-05-15,2026-02-22,closed_lost,14325.79
OPP-0000064,ACCT-00280,2025-09-08,2025-03-06,proposal,56788.3
OPP-0000065,ACCT-03971,2025-09-22,2025-03-27,negotiation,19058.54
OPP-0000066,ACCT-00242,2025-05-27,2025-04-04,negotiation,28592.92
OPP-0000067,ACCT-01984,2025-05-19,2025-05-06,proposal,22515.77
OPP-0000068,ACCT-04143,2025-07-29,2025-05-28,negotiation,17367.03
OPP-0000069,ACCT-01303,2025-03-05,2026-02-16,closed_won,11863.41
OPP-0000070,ACCT-05426,2025-09-02,2026-02-06,prospecting,18604.77
OPP-0000071,ACCT-04546,2025-12-22,2025-08-30,proposal,5566.85
OPP-0000072,ACCT-04407,2025-05-20,2025-03-14,proposal,18619.66
OPP-0000073,ACCT-00308,2025-06-10,2025-12-09,negotiation,11049.22
OPP-0000074,ACCT-02384,2025-12-03,2025-09-17,prospecting,19584.14
OPP-0000075,ACCT-03439,2025-08-27,2025-04-07,negotiation,16316.18
OPP-0000076,ACCT-05912,2025-02-11,2025-04-03,proposal,17496.52
OPP-0000077,ACCT-03545,2025-02-01,2025-08-12,closed_lost,3215.37
OPP-0000078,ACCT-03682,2025-04-11,2025-03-21,proposal,14320.43
OPP-0000079,ACCT-04435,2025-10-22,2025-09-14,proposal,22084.57
OPP-0000080,ACCT-04187,2025-10-12,2025-09-16,prospecting,21442.83
OPP-0000081,ACCT-01851,2025-09-02,2025-09-14,negotiation,18037.02
