subscription_id,customer_id,start_date,end_date,status,monthly_recurring_revenue
SUB-000001,CUST-00419,2024-08-03,,active,214.74
SUB-000002,CUST-04654,2024-11-08,,active,12.53
SUB-000003,CUST-02493,2025-06-10,,active,199.88
SUB-000004,CUST-01174,2024-01-03,,active,93.55
SUB-000005,CUST-02670,2025-08-06,2025-07-28,churned,312.71
SUB-000006,CUST-03297,2024-11-11,2025-02-23,churned,170.67
SUB-000007,CUST-04544,2024-12-04,,active,220.18
SUB-000008,CUST-00660,2024-12-28,,active,160.24
SUB-000009,CUST-04237,2024-06-01,,active,347.34
SUB-000010,CUST-03549,2024-04-28,2025-03-28,churned,92.2
SUB-000011,CUST-01472,2025-03-16,2025-04-12,churned,85.92
SUB-000012,CUST-02409,2024-02-23,2025-01-10,churned,66.67
SUB-000013,CUST-01520,2025-07-22,2025-08-09,churned,81.51
SUB-000014,CUST-01740,2024-10-27,,active,130.52
SUB-000015,CUST-00967,2024-07-22,,paused,119.34
SUB-000016,CUST-04037,2024-11-18,,paused,161.0
SUB-000017,CUST-04515,2024-04-27,2025-09-06,churned,476.5
SUB-000018,CUST-03769,2025-05-16,,active,171.46
SUB-000019,CUST-02306,2024-04-17,,active,95.3
SUB-000020,CUST-03266,2025-05-23,,active,54.61
SUB-000021,CUST-00542,2025-06-25,,paused,53.61
SUB-000022,CUST-01102,2025-06-23,,active,459.26
SUB-000023,CUST-02698,2024-01-21,,active,50.78
SUB-000024,CUST-03467,2024-09-02,2025-06-03,churned,381.45
SUB-000025,CUST-03730,2024-06-03,,active,98.67
SUB-000026,CUST-00682,2024-07-07,,active,77.18
SUB-000027,CUST-00460,2024-09-25,,active,87.33
SUB-000028,CUST-04677,2025-01-02,,active,257.22
SUB-000029,CUST-02267,2024-01-20,2025-09-29,churned,261.81
SUB-000030,CUST-04691,2025-02-15,,active,187.21
SUB-000031,CUST-00928,2025-07-09,,active,195.71
SUB-000032,CUST-02529,2024-07-20,,paused,397.68
SUB-000033,CUST-00167,2024-01-10,,active,155.67
SUB-000034,CUST-03416,2024-06-02,2025-05-28,churned,114.59
SUB-000035,CUST-02729,2025-05-26,2025-08-27,churned,187.33
SUB-000036,CUST-03567,2024-11-16,,active,722.63
SUB-000037,CUST-03760,2024-01-12,2025-05-09,churned,9.82
SUB-000038,CUST-03850,2024-11-24,,active,200.09
SUB-000039,CUST-03315,2024-10-25,2025-05-17,churned,97.51
SUB-000040,CUST-02926,2024-03-11,,active,49.84
SUB-000041,CUST-00982,2024-10-18,,active,352.05
SUB-000042,CUST-04008,2025-05-01,,active,283.17
SUB-000043,CUST-01366,2025-09-04,,active,577.64
SUB-000044,CUST-01940,2025-09-25,,active,292.07
SUB-000045,CUST-02119,2024-05-29,,paused,212.12
SUB-000046,CUST-01642,2025-02-06,,active,89.85
SUB-000047,CUST-00822,2024-10-24,,active,155.56
SUB-000048,CUST-01432,2024-03-06,,active,58.67
SUB-000049,CUST-04557,2024-03-28,,active,41.22
SUB-000050,CUST-00053,2024-08-31,,active,178.43
SUB-000051,CUST-00182,2024-09-24,,active,417.42
SUB-000052,CUST-02475,2024-06-10,,active,103.41
SUB-000053,CUST-02762,2025-08-03,2025-05-12,churned,27.54
SUB-000054,CUST-01285,2025-04-10,,active,139.11
SUB-000055,CUST-03214,2024-09-14,,active,67.07
SUB-000056,CUST-02404,2025-09-13,,active,174.66
SUB-000057,CUST-00045,2024-03-02,,active,231.2
SUB-000058,CUST-03438,2025-02-26,,active,118.71
SUB-000059,CUST-03511,2024-11-16,,active,254.3
SUB-000060,CUST-03109,2024-04-13,,active,338.51
SUB-000061,CUST-00717,2024-11-03,,active,219.11
SUB-000062,CUST-01545,2025-09-26,2025-10-13,churned,138.07
SUB-000063,CUST-04750,2025-01-27,,active,66.17
SUB-000064,CUST-04147,2025-09-24,,active,230.33
SUB-000065,CUST-03709,2024-07-08,,active,166.05
SUB-000066,CUST-01195,2025-01-22,,active,213.36
SUB-000067,CUST-03260,2025-01-06,2025-01-07,churned,9.05
SUB-000068,CUST-02811,2025-02-12,,active,284.74
SUB-000069,CUST-03479,2025-06-01,,active,53.16
SUB-000070,CUST-04537,2024-08-17,,active,121.73
SUB-000071,CUST-02144,2024-03-31,,active,70.86
SUB-000072,CUST-03143,2024-12-28,,active,375.32
SUB-000073,CUST-01112,2024-01-02,,active,60.24
