ticket_id,customer_id,created_at,priority,status,first_response_at,resolved_at
TCK-0000001,CUST-04604,2025-04-24,medium,resolved,2025-04-24 02:48:00,2025-04-27 07:21:00
TCK-0000002,CUST-02603,2025-02-09,low,open,2025-02-09 01:19:00,2025-02-11 13:31:00
TCK-0000003,CUST-00271,2025-12-05,critical,resolved,2025-12-05 03:13:00,2025-12-08 01:58:00
TCK-0000004,CUST-01296,2025-10-27,medium,resolved,2025-10-27 03:51:00,2025-10-29 07:06:00
TCK-0000005,CUST-00697,2025-07-04,high,open,2025-07-04 00:53:00,2025-07-05 00:24:00
TCK-0000006,CUST-00154,2025-03-31,low,resolved,2025-03-31 05:10:00,2025-04-01 06:40:00
TCK-0000007,CUST-01935,2025-08-31,high,resolved,2025-08-31 03:26:00,2025-09-01 15:19:00
TCK-0000008,CUST-00483,2025-07-27,low,resolved,2025-07-27 01:21:00,2025-07-30 01:23:00
TCK-0000009,CUST-00117,2025-01-28,high,resolved,2025-01-28 03:39:00,2025-01-30 04:31:00
TCK-0000010,CUST-01501,2025-03-08,low,resolved,2025-03-08 03:11:00,2025-03-11 14:17:00
TCK-0000011,CUST-04302,2025-10-20,low,resolved,2025-10-20 04:41:00,2025-10-21 04:28:00
TCK-0000012,CUST-00685,2025-05-23,critical,resolved,2025-05-23 04:32:00,2025-05-23 16:21:00
TCK-0000013,CUST-02359,2025-08-18,medium,resolved,2025-08-18 00:51:00,2025-08-18 22:44:00
TCK-0000014,CUST-04673,2025-09-05,low,resolved,2025-09-05 05:00:00,2025-09-07 02:30:00
TCK-0000015,CUST-03493,2025-01-30,high,resolved,2025-01-30 03:38:00,2025-01-31 22:23:00
TCK-0000016,CUST-03049,2025-06-05,high,resolved,2025-06-05 04:40:00,2025-06-07 10:53:00
TCK-0000017,CUST-00459,2025-03-21,medium,resolved,2025-03-21 01:51:00,2025-03-22 23:08:00
TCK-0000018,CUST-00355,2025-05-29,low,resolved,2025-05-29 04:25:00,2025-05-30 16:23:00
TCK-0000019,CUST-03145,2025-10-17,medium,resolved,2025-10-17 05:53:00,2025-10-19 19:32:00
TCK-0000020,CUST-02020,2025-08-02,low,resolved,2025-08-02 05:20:00,2025-08-03 15:01:00
TCK-0000021,CUST-04681,2025-10-09,low,resolved,2025-10-09 00:07:00,2025-10-12 06:03:00
TCK-0000022,CUST-04704,2025-02-09,medium,resolved,2025-02-09 05:13:00,2025-02-09 07:27:00
TCK-0000023,CUST-00898,2025-09-17,low,resolved,2025-09-17 00:06:00,2025-09-19 15:34:00
TCK-0000024,CUST-04729,2025-09-06,medium,resolved,2025-09-06 05:04:00,2025-09-08 18:05:00
TCK-0000025,CUST-03181,2025-06-22,critical,resolved,2025-06-22 01:29:00,2025-06-24 10:56:00
TCK-0000026,CUST-03303,2025-10-10,low,resolved,2025-10-10 02:13:00,2025-10-14 01:04:00
TCK-0000027,CUST-00922,2025-07-11,medium,resolved,2025-07-11 02:30:00,2025-07-11 09:49:00
TCK-0000028,CUST-04021,2025-06-13,medium,resolved,2025-06-13 05:44:00,2025-06-15 10:34:00
TCK-0000029,CUST-00450,2025-03-20,low,resolved,2025-03-20 01:34:00,2025-03-20 17:18:00
TCK-0000030,CUST-04836,2025-09-23,low,resolved,2025-09-23 03:24:00,2025-09-24 16:48:00
TCK-0000031,CUST-03106,2025-09-01,low,resolved,2025-09-01 05:35:00,2025-09-01 10:52:00
TCK-0000032,CUST-00364,2025-10-06,low,resolved,2025-10-06 02:43:00,2025-10-08 06:43:00
TCK-0000033,CUST-01587,2025-10-17,high,open,2025-10-17 04:37:00,2025-10-21 02:08:00
TCK-0000034,CUST-00281,2025-07-24,medium,resolved,2025-07-24 01:15:00,2025-07-26 16:53:00
